"state","track","race","distance","trackcondition","trackrating","date","meetid","raceid","racestatus","raceclass","fieldsize","trialjumpout","horseid","name","entrantnumber","barrier","weight","margin","finish","winningtime","scratched","sp","placeodds","jockey","trainer","position400","position800"
VIC,Burrumbeet,1,1800,Good,"3",2021-01-01,"5164935","5246354",Paying,Maiden,10,false,"5045595",Dr Schultz,1,5,59.5,7.75,6,"11162",false,10,2.30,E.M.Brown,M.A.Bell,3,3
VIC,Burrumbeet,1,1800,Good,"3",2021-01-01,"5164935","5246354",Paying,Maiden,10,false,"5031025",Jousting,2,8,59.5,7.55,5,"11162",false,4.8,1.90,J.Fry,A.J.Shillito,4,1
VIC,Burrumbeet,1,1800,Good,"3",2021-01-01,"5164935","5246354",Paying,Maiden,10,false,"5025358",Nero To Hero,3,9,59.5,0.3,2,"11162",false,6.5,1.50,C.Puls,B.Goodwin,2,5
VIC,Burrumbeet,1,1800,Good,"3",2021-01-01,"5164935","5246354",Paying,Maiden,10,false,"953201",Revelry,4,4,59.5,2.3,3,"11162",false,81,16.00,W.Gordon,T.L.Birnie,6,9
VIC,Burrumbeet,1,1800,Good,"3",2021-01-01,"5164935","5246354",Paying,Maiden,10,false,"5034497",Stephens Green,5,3,59.5,14.75,8,"11162",false,41,7.00,N.Farley,A.Cosgriff,8,10
VIC,Burrumbeet,1,1800,Good,"3",2021-01-01,"5164935","5246354",Paying,Maiden,10,false,"5258357",Trust But Verify,6,6,58,6.55,4,"11162",false,51,10.00,A.K.Kelly,T.L.Birnie,7,7
VIC,Burrumbeet,1,1800,Good,"3",2021-01-01,"5164935","5246354",Paying,Maiden,10,false,"1004984",Christines Legacy,7,7,57.5,,1,"11162",false,9.5,2.25,L.Boyd,D.J.L.Hunter,5,8
VIC,Burrumbeet,1,1800,Good,"3",2021-01-01,"5164935","5246354",Paying,Maiden,10,false,"5046362",Crackerjack Lady,8,10,57.5,10.75,7,"11162",false,2,1.08,H.T.Coffey,C.Maher & D.Eustace,1,2
VIC,Burrumbeet,1,1800,Good,"3",2021-01-01,"5164935","5246354",Paying,Maiden,10,false,"5051069",Petulant Peg,9,1,57.5,31.75,9,"11162",false,21,4.60,D.Holland,S.Morrish,9,4
VIC,Burrumbeet,1,1800,Good,"3",2021-01-01,"5164935","5246354",Paying,Maiden,10,false,"5033383",Seduced By Fame,10,2,57.5,46.75,10,"11162",false,61,14.00,T.J.Bull,S.C.Field,10,6
VIC,Burrumbeet,2,1350,Good,"3",2021-01-01,"5164935","5246359",Paying,Maiden,8,false,"5049174",Natural Courage,2,7,59.5,10.55,7,"8102",false,61,9.00,K.M.Walters,S.C.Field,7,8
VIC,Burrumbeet,2,1350,Good,"3",2021-01-01,"5164935","5246359",Paying,Maiden,8,false,"5050623",Cianna,3,3,57.5,2.6,4,"8102",false,15,3.10,J.Fry,S.Morrish,4,3
VIC,Burrumbeet,2,1350,Good,"3",2021-01-01,"5164935","5246359",Paying,Maiden,8,false,"5053231",Enchanted Euro,4,5,57.5,2.8,5,"8102",false,8,1.75,N.Farley,M.J.Cunningham,3,4
VIC,Burrumbeet,2,1350,Good,"3",2021-01-01,"5164935","5246359",Paying,Maiden,8,false,"5045353",Jungle Bell,5,2,57.5,28.55,8,"8102",false,51,7.50,W.Gordon,L.J.Mcgill,8,6
VIC,Burrumbeet,2,1350,Good,"3",2021-01-01,"5164935","5246359",Paying,Maiden,8,false,"5027960",Leica Secondchance,6,8,57.5,3.55,6,"8102",false,20,4.00,D.Holland,T.D.Conlan,6,5
VIC,Burrumbeet,2,1350,Good,"3",2021-01-01,"5164935","5246359",Paying,Maiden,8,false,"5251098",Something Grand,7,6,56,0.6,3,"8102",false,4.2,1.35,C.Puls,J.A.Scott,2,2
VIC,Burrumbeet,2,1350,Good,"3",2021-01-01,"5164935","5246359",Paying,Maiden,8,false,"5247573",Yesmeena,8,4,56,0.1,2,"8102",false,1.8,1.10,H.T.Coffey,Ciaron Maher & David Eustace,5,7
VIC,Burrumbeet,2,1350,Good,"3",2021-01-01,"5164935","5246359",Paying,Maiden,8,false,"5251263",Little Red Fox,9,1,57.5,,1,"8102",false,9.5,2.10,M.Lawrence,E.Collins,1,1
VIC,Burrumbeet,3,1350,Good,"3",2021-01-01,"5164935","5246356",Paying,BM 64,7,false,"5034058",Monsieur Macron,1,3,61.5,,1,"7961",false,4,2.05,J.Fry,K.Harris,1,1
VIC,Burrumbeet,3,1350,Good,"3",2021-01-01,"5164935","5246356",Paying,BM 64,7,false,"5033629",The Moors,2,6,60,3.5,2,"7961",false,2.9,1.55,A.K.Kelly,Pa.Haythorpe,3,3
VIC,Burrumbeet,3,1350,Good,"3",2021-01-01,"5164935","5246356",Paying,BM 64,7,false,"5030515",Ronay,3,7,59,4.85,4,"7961",false,8,3.30,M.Payne,P.G.Payne,5,5
VIC,Burrumbeet,3,1350,Good,"3",2021-01-01,"5164935","5246356",Paying,BM 64,7,false,"5009615",Uptown Lilly,4,4,57.5,4.75,3,"7961",false,3.6,1.80,D.Holland,G.A.Osborne,2,2
VIC,Burrumbeet,3,1350,Good,"3",2021-01-01,"5164935","5246356",Paying,BM 64,7,false,"5010984",Ellehcim,5,5,56.5,5.05,5,"7961",false,7,3.30,W.Gordon,L.J.Mcgill,6,7
VIC,Burrumbeet,3,1350,Good,"3",2021-01-01,"5164935","5246356",Paying,BM 64,7,false,"1007076",Mighty Moshe,6,2,55,6.8,6,"7961",false,21,7.00,N.Farley,M.J.Cunningham,4,4
VIC,Burrumbeet,3,1350,Good,"3",2021-01-01,"5164935","5246356",Paying,BM 64,7,false,"5026681",Ali Orphan,7,1,55,11.3,7,"7961",false,101,26.00,K.M.Walters,Wh.Walters,7,6
VIC,Burrumbeet,4,1350,Good,"3",2021-01-01,"5164935","5246357",Paying,BM 0-57,8,false,"5035221",Hot Glory,1,7,60,11.35,8,"8066",false,51.00,8.50,M.Lawrence,S.L.Noll,6,7
VIC,Burrumbeet,4,1350,Good,"3",2021-01-01,"5164935","5246357",Paying,BM 0-57,8,false,"993970",Kings Hand,2,2,60,1.7,3,"8066",false,19,3.90,C.Puls,J.D.Pearson,7,6
VIC,Burrumbeet,4,1350,Good,"3",2021-01-01,"5164935","5246357",Paying,BM 0-57,8,false,"5029266",Sticks,3,6,60,2.45,4,"8066",false,6.5,1.85,Y.Ota,B.Mcgrath,1,1
VIC,Burrumbeet,4,1350,Good,"3",2021-01-01,"5164935","5246357",Paying,BM 0-57,8,false,"986917",Franquin,4,1,59,0.2,2,"8066",false,4.2,1.35,J.Fry,B.Goodwin,4,3
VIC,Burrumbeet,4,1350,Good,"3",2021-01-01,"5164935","5246357",Paying,BM 0-57,8,false,"5019569",Be Miss Luchy,5,3,58,,1,"8066",false,2.7,1.30,A.K.Kelly,K.J.Fythe,3,4
VIC,Burrumbeet,4,1350,Good,"3",2021-01-01,"5164935","5246357",Paying,BM 0-57,8,false,"5016345",Blonde Russian,6,8,57,2.65,5,"8066",false,3.8,1.35,H.T.Coffey,P.A.Chow,2,2
VIC,Burrumbeet,4,1350,Good,"3",2021-01-01,"5164935","5246357",Paying,BM 0-57,8,false,"1003179",Love In The City,7,4,55,2.85,6,"8066",false,26,4.60,D.Holland,R.D.Daniel,8,8
VIC,Burrumbeet,4,1350,Good,"3",2021-01-01,"5164935","5246357",Paying,BM 0-57,8,false,"5026685",Lady Annabel,8,5,55,6.35,7,"8066",false,41,7.00,K.M.Walters,Wh.Walters,5,5
VIC,Burrumbeet,5,1000,Good,"3",2021-01-01,"5164935","5246360",Paying,Maiden,10,false,"5033593",Happy Socks,1,9,59.5,4.85,4,"5836",false,21,4.60,S.J.Noble,S.G.Noble,6,10
VIC,Burrumbeet,5,1000,Good,"3",2021-01-01,"5164935","5246360",Paying,Maiden,10,false,"994501",Iambifier,2,6,59.5,7.75,7,"5836",false,9,2.60,H.T.Coffey,K.G.Mccartin,8,7
VIC,Burrumbeet,5,1000,Good,"3",2021-01-01,"5164935","5246360",Paying,Maiden,10,false,"5254160",Rock Smock,3,8,59.5,10.25,9,"5836",false,17,4.20,M.Lawrence,Nj.Roe,9,8
VIC,Burrumbeet,5,1000,Good,"3",2021-01-01,"5164935","5246360",Paying,Maiden,10,false,"983509",Vision Of Life,4,4,59.5,7.65,6,"5836",false,41,7.50,N.Farley,La.Ablett,10,9
VIC,Burrumbeet,5,1000,Good,"3",2021-01-01,"5164935","5246360",Paying,Maiden,10,false,"5054216",Simply Inspiring,5,10,57.5,1.75,2,"5836",false,4.4,1.60,A.K.Kelly,G.A.Osborne,1,1
VIC,Burrumbeet,5,1000,Good,"3",2021-01-01,"5164935","5246360",Paying,Maiden,10,false,"5051887",Why Now,6,3,57.5,8.75,8,"5836",false,15,3.80,J.Fry,M.J.Cunningham,5,6
VIC,Burrumbeet,5,1000,Good,"3",2021-01-01,"5164935","5246360",Paying,Maiden,10,false,"5047777",Wild Velocity,7,5,57.5,11.25,10,"5836",false,41,7.00,L.Boyd,Sm.Keating,4,2
VIC,Burrumbeet,5,1000,Good,"3",2021-01-01,"5164935","5246360",Paying,Maiden,10,false,"5259549",I Feel Fine,8,1,56,4.75,3,"5836",false,2.6,1.30,D.Holland,S.Morrish,3,4
VIC,Burrumbeet,5,1000,Good,"3",2021-01-01,"5164935","5246360",Paying,Maiden,10,false,"5251135",Im Oh So Pretty,9,7,56,,1,"5836",false,5,1.65,T.J.Bull,L.J.Mcgill,2,3
VIC,Burrumbeet,5,1000,Good,"3",2021-01-01,"5164935","5246360",Paying,Maiden,10,false,"5243744",Soomayya,10,2,56,7.35,5,"5836",false,18,4.00,W.Gordon,Jason Warren & Dean Krongold,7,5
VIC,Burrumbeet,6,1000,Good,"3",2021-01-01,"5164935","5246358",Paying,BM 0-57,8,false,"5248905",The Fugitive,1,5,65.5,3.4,6,"5881",false,2.8,1.35,A.K.Kelly,S.Morrish,6,6
VIC,Burrumbeet,6,1000,Good,"3",2021-01-01,"5164935","5246358",Paying,BM 0-57,8,false,"5039236",Project Manhattan,2,1,61.5,3.7,8,"5881",false,20,4.40,M.Lawrence,W.L.Potter,4,3
VIC,Burrumbeet,6,1000,Good,"3",2021-01-01,"5164935","5246358",Paying,BM 0-57,8,false,"1006722",Bay Of Faith,3,3,60,0.6,4,"5881",false,11,2.60,N.Farley,M.S.Fahler,1,1
VIC,Burrumbeet,6,1000,Good,"3",2021-01-01,"5164935","5246358",Paying,BM 0-57,8,false,"5026170",Ramp,4,7,60,0.3,3,"5881",false,4.4,1.45,W.Gordon,R.L.Cully,5,5
VIC,Burrumbeet,6,1000,Good,"3",2021-01-01,"5164935","5246358",Paying,BM 0-57,8,false,"984554",Laurentian,5,8,59.5,3.6,7,"5881",false,14,3.50,D.Holland,R.A.Pinsent,2,2
VIC,Burrumbeet,6,1000,Good,"3",2021-01-01,"5164935","5246358",Paying,BM 0-57,8,false,"983257",Infernal,6,2,58,,1,"5881",false,4.4,1.60,T.J.Bull,M.R.Sues,7,7
VIC,Burrumbeet,6,1000,Good,"3",2021-01-01,"5164935","5246358",Paying,BM 0-57,8,false,"1001739",Cosmic Scoop,7,6,57.5,0.9,5,"5881",false,8.5,2.45,E.M.Brown,M.S.Fahler,8,8
VIC,Burrumbeet,6,1000,Good,"3",2021-01-01,"5164935","5246358",Paying,BM 0-57,8,false,"958101",Talk About Tom,8,4,55,0.1,2,"5881",false,31,6.50,C.Puls,D.J.Connors,3,4
VIC,Burrumbeet,7,1800,Good,"3",2021-01-01,"5164935","5246355",Paying,BM 78,10,false,"5261153",Mr Reckless,1,9,59,6.45,6,"11067",false,7,2.30,A.K.Kelly,R.D.Daniel,8,8
VIC,Burrumbeet,7,1800,Good,"3",2021-01-01,"5164935","5246355",Paying,BM 78,10,false,"1005304",Diplomac Jack,2,3,56,,1,"11067",false,3.3,1.40,N.Farley,T.Carberry,1,1
VIC,Burrumbeet,7,1800,Good,"3",2021-01-01,"5164935","5246355",Paying,BM 78,10,false,"5015160",Brigadier,3,4,55.5,2.25,2,"11067",false,18,4.60,K.M.Walters,Wh.Walters,7,7
VIC,Burrumbeet,7,1800,Good,"3",2021-01-01,"5164935","5246355",Paying,BM 78,10,false,"5015200",Clean Acheeva,4,2,55.5,5.2,5,"11067",false,4.4,1.70,E.M.Brown,Ken & Kasey Keys,5,5
